h11,cy_index,log10_mass_over_Mpl_median,log10_f_over_Mpl_median,log10_coupling_median,mass_eV_min,mass_eV_max,abs_coupling_min,abs_coupling_max,axion_index_count
3,2,-5.29911672565304,-2.1938479089345306,-27.81437376915697,1.302025518350082e+21,2.003547241738211e+27,2.1476416622252395e-30,3.251019698826182e-18,3
3,3,-11.06938323259484,-2.6639736004943635,-18.558447812849842,1.2220570568647202e+16,1.008969629834232e+22,2.08000422665372e-19,5.721077433896823e-19,3
3,4,-16.706423552939334,13.569749468532827,-34.04971024917682,12311160900.267843,3.606661023203064e+18,8.705073044330353e-35,1.3863369090948297e-18,3
3,5,-9.267052663108773,-2.5402613660045086,-18.944381304761226,1661901131830843.8,3.467778796449914e+18,3.976437104037569e-25,1.2988973383957021e-18,3
3,6,-23.014199017752105,-3.113734054768703,-18.54527586438986,0.0008557568911153496,106778.07334684105,1.2184988599293116e-19,4.27749548926113e-19,3
3,7,-13.420560049751451,-0.11558461075232729,-25.92420298821265,3082349742.1906834,2.7732940297480893e+18,1.329947959676948e-34,1.0660053297156349e-18,2
3,8,-18.83645658707093,-2.938782417541213,-18.11262121591051,5594118.652143232,52575299349079.0,2.9278646243635874e-22,1.165582433313446e-18,3
3,9,-2.126692716355718,-2.198419728044192,-18.364705291095667,1.5897674722719137e+25,4.162065276616875e+25,3.102791337489728e-34,6.9868649556635715e-19,3
4,0,-5.892589079340851,-2.612429989292158,-18.821982358911654,9.174306515677552e+18,8.05879193970615e+21,1.0541391478000487e-19,7.85437415758673e-19,4
4,1,-27.96462125255883,-3.0112872147251615,-18.5230200019777,9.571464144447978e-05,0.6413661768570801,5.0249559860043245e-20,4.270734663024686e-19,4
4,2,-10.72312954673982,-3.0110816302683685,-21.59428925762336,4672460527.225878,3.701460004796237e+18,8.005595206466177e-36,1.4226289772898853e-18,3
4,3,-4.354580264094478,-2.5487697804150526,-20.915055353541824,2.935669083702403e+21,3.728388714204084e+24,6.390630139232027e-25,1.836606141683485e-18,4
4,4,-5.8255326455243335,-2.4421938438206294,-18.767699855417955,2.887092906654513e+17,1.179020002463806e+24,7.059521935410231e-28,6.231241996901436e-19,4
4,5,-3.3405540723655673,-2.150972344299361,-18.33385630421685,1.1115906706704436e+24,1.361414972990363e+24,1.4070430726602784e-19,4.742096666855239e-19,4
4,6,-35.10773287759551,-2.9104368211554448,-22.192984246375453,1.1584167005943196e-14,2.4120168337993326e-06,1.0642163955668222e-34,6.981106188893433e-19,4
4,7,-18.068577579146115,-3.04444821556494,-18.433116407016847,119556.97461016828,36163283509085.52,6.373509425437639e-20,2.1349541547052978e-18,2
4,8,-11.091691790830069,-2.8485898712811584,-18.40403059109891,98077376030.97308,9.593841400551487e+18,5.364432797512621e-29,9.878472084224883e-19,4
4,9,-16.73238608233756,-3.1831110500531836,-18.291921146121332,110360.83874215093,3987636917691.5728,1.9920640256344024e-19,6.187226854816053e-19,3
5,0,-63.93486337894791,19.320547162314625,-18.710960094140564,1.7875418221063777e-37,1.5461947285915992e-28,1.5954852328306101e-19,2.054454973340408e-19,3
5,1,-21.662605078592378,-3.126765322960079,-18.8384214176895,186999.13749920233,44636318993954.52,4.322982870722281e-20,3.5454248330230667e-19,3
5,2,-19.392017389075964,-0.47943775325486987,-18.412046359378504,5885747.205570148,2.6775898934239588e+16,3.6953409534594127e-20,9.378342924084415e-19,5
5,3,-10.871363976653852,-2.8538059278358965,-18.377760217561068,1106935886850572.8,6.078565400616238e+20,1.203540644019073e-21,8.256580755172485e-19,5
5,4,-19.680952789363545,-1.3437671239586941,-25.505435611931752,1573.0697008593534,477330711527.3278,3.317291185421544e-35,2.3892175518794993e-18,4
5,5,-24.408942659141577,-3.985173420921394,-17.56554566446317,172.37646867612943,227107707233.7043,8.147496054418386e-20,4.688164319235308e-18,3
5,6,-16.515397429615913,0.47117488411143826,-18.885310650824376,3013655.9988127854,1832776023189527.5,5.741370936117299e-20,2.953677616555934e-19,2
5,7,-24.256332023833092,3.8192815795127846,-18.920580124585083,380.23489065974405,899359971865.0499,4.746113348528393e-20,2.5138681401469436e-19,3
5,8,-13.094740341437337,2.994171133342466,-18.61582774576696,20597704202873.37,1.8323455083045605e+22,2.1594259260185352e-19,4.506354715300549e-19,3
5,9,-20.81851774698369,-3.290051603280778,-18.81757552104534,2.8338845605066583,4770774713.073736,2.770687342802964e-20,3.4339367428629994e-19,3
6,0,-26.469481755697554,0.1960060085081225,-18.57091767727344,0.2883113770906396,5275777802.808428,8.524042868682856e-21,6.448620071025836e-19,5
6,1,-33.95305031975501,19.914499996489784,-19.198166136733107,2.0964330412691632e-08,94.38698000626368,2.7230341377998534e-20,7.398665267758339e-19,3
6,2,-8.05269497355362,-3.6603654030042185,-32.35800275056557,1.964230187910954e+17,5.269287854238176e+26,7.839422237533656e-35,2.3794506672478134e-17,3
6,3,-10.099153474107908,11.199906127817098,-19.511964845541364,1.3263586584606346e+16,3.924503515676614e+25,1.2728955571923515e-20,5.4137965635308795e-20,4
6,4,-5.9538310324199415,-0.05773755646203815,-24.702551840956076,4.188813380879024e+16,2.429234690422992e+25,6.092524755203583e-34,1.1966423047250689e-17,4
6,5,-9.816734156130373,11.58879821476004,-18.62326250203881,4.7609091485260216e+16,4.4175797444087245e+25,6.804162202781435e-20,6.181574601549716e-19,5
6,6,-25.548188905558554,17.007171236443654,-18.811315368003438,1.9627681755610864,10086263308.145212,9.457374154908553e-20,4.434078169271063e-19,5
